x1;x2;xyz;age
96;F;DWNY;70
18;U;KGTM;34
40;R;ERRZ;49
73;X;BPTD;63
98;K;RVJF;69
37;E;CKZA;78
76;Z;MTOB;42
8;F;MDNX;36
69;O;CJLJ;36
9;C;BLNO;28
99;Q;RGNY;23
74;E;AGUH;62
81;M;FOSR;81
53;P;CCCF;80
14;W;AUTE;18
58;M;KJLC;29
22;L;RTIA;33
51;A;QBPM;32
85;G;RMFA;28
36;Y;TGAC;68
43;S;VCKK;21
66;G;MXRV;77
19;J;HFCJ;75
11;X;CFAN;62
76;W;CETU;39
32;K;RLDW;66
43;L;VQTI;64
80;Z;LXBI;20
86;Y;EGFW;25
92;B;ZYUR;79
88;D;ASHG;52
87;H;MBYP;35
99;Q;WPJK;68
40;Y;FMSE;26
18;Z;VVLG;51
8;R;WSOZ;44
3;Q;XXMF;62
20;H;YIRX;27
74;L;WNGE;66
90;D;LEIV;22
12;X;OWIB;47
12;C;XLAV;27
73;L;ULRG;41
40;O;BBUC;47
69;S;UKAD;63
15;U;EYXJ;69
100;J;LHHF;68
5;K;IHQB;35
38;I;PIOQ;69
69;I;PJBB;74
46;X;VVPD;18
45;L;WDEL;46
2;W;YDQY;45
40;A;QZZK;75
33;P;VHSU;42
59;F;KHBV;37
64;M;TIFK;20
43;B;TGEX;43
11;H;ZWQS;35
55;Y;FUHI;44
17;U;BJRG;53
1;D;EYTN;74
54;N;XWCD;66
62;J;QRFT;62
1;D;ZCIW;72
69;X;UEFS;68
53;E;SKFA;76
27;F;IZQA;57
51;U;EDZS;38
84;H;BAQK;67
82;P;WTEM;18
78;Y;APJE;59
32;V;SWIG;24
72;T;ONST;52
13;H;FKGN;49
87;D;WNQI;38
41;J;CYSS;21
83;B;VIKP;52
34;J;RFSH;18
20;I;AOYR;27
20;F;SBKW;73
41;K;YSZS;29
33;M;ZYXJ;41
56;I;MZKB;34
2;U;QTFJ;23
75;L;SRVW;74
95;E;EUPE;77
19;T;HDMT;59
76;D;XKBV;79
89;K;BYTW;29
33;R;KKCS;78
86;Y;LUVI;30
41;Z;CAFS;69
25;O;BCPS;71
25;N;VVAK;37
45;J;SHQL;39
9;L;MKLY;22
79;G;BOEN;32
2;S;SQUL;36
2;V;FECO;43
61;T;LRUW;56
4;N;KGEC;37
63;T;FVJB;68
82;B;ITVM;38
61;C;WHBY;53
28;V;EJQM;74
99;T;VLLR;28
87;X;UARL;37
72;J;KGXK;50
40;C;UHDC;35
14;Q;RRDN;42
62;Z;XCFY;71
41;H;ZHWC;20
37;V;SFDX;46
36;E;QYCC;77
12;N;RHKX;76
75;N;GVII;39
59;Q;DYXR;63
16;I;ESOC;23
74;N;QBDV;40
74;S;CTJU;65
86;E;QFJF;39
78;T;JFKY;40
15;Y;XQRX;80
14;E;BZSB;79
38;Y;DXFV;75
83;Q;YFWL;37
17;V;GBTK;45
77;S;LBGQ;50
93;D;EAJX;44
10;V;QCLC;71
58;O;JJOW;37
61;T;DNCG;49
32;P;IVLQ;18
70;P;HVBJ;32
87;O;YRFO;26
61;H;SDNT;39
68;D;IEDG;49
56;N;ZCRA;35
6;V;LMQB;74
14;Y;OKHJ;37
52;I;NXVU;26
13;Z;LQAI;22
19;W;PCYT;39
53;V;MCKZ;77
15;R;BSPX;27
85;S;BAVO;23
67;U;LRRL;38
70;M;OWYU;66
52;S;NCFU;71
72;P;QHHQ;42
3;F;KENQ;52
58;M;RSFY;68
81;D;XXVG;46
99;T;EVXK;79
47;C;DNXV;81
85;Y;KOJT;28
21;F;FSUV;76
70;B;BANE;39
79;R;CIAX;71
82;D;LHMQ;40
4;B;IRLK;44
30;Y;QMLQ;21
34;A;QCUJ;51
46;W;NTFM;28
82;F;PJMR;45
26;S;JVHG;66
38;T;WCHZ;28
78;Q;OMDZ;57
25;V;EABT;59
77;Z;EVMP;41
52;K;JNAF;42
68;H;YTQU;64
46;X;SXMH;45
13;G;UERB;33
62;V;KYHC;75
31;A;TCND;44
51;I;XDBX;65
63;W;EDWD;18
50;C;YQHN;68
83;Q;TJDH;49
60;P;OVFO;18
12;P;OIEI;77
44;W;ZQPR;38
38;A;QHUJ;32
81;M;YGBA;38
