x1;x2;xyz;age
11;R;GAJP;40
99;P;UENM;61
72;L;OHYS;70
5;C;KSML;33
52;F;GJUX;50
4;G;LSKG;78
14;X;FBKC;42
70;G;HFNE;57
57;L;GRUM;71
95;W;IQJY;44
34;K;PYEZ;44
34;V;KQLO;36
52;H;KOOF;60
19;W;JHYZ;59
26;G;JZTD;33
91;Y;LMOS;64
73;R;IEXC;21
22;S;ADVS;23
80;L;TIWI;63
21;F;NQDO;39
13;I;ZIVP;81
75;Y;NLKS;24
93;M;CNHS;32
82;S;CLKO;80
11;G;KTVU;28
2;M;XWJQ;34
33;Y;TCEX;22
93;Q;PIBJ;50
63;N;UVGL;30
12;W;SDDE;56
64;G;ENUC;23
74;P;VTHV;67
30;C;QIYH;37
32;Y;TQCV;61
26;T;RIBZ;71
60;T;BHRJ;22
86;N;LXMF;76
81;J;LYOE;50
67;H;LKBO;36
52;T;YYDF;28
6;X;KDHZ;75
21;M;TZBZ;74
8;Q;PUJJ;67
65;G;SLXJ;37
82;Q;ILOY;23
65;W;UXBW;53
26;N;BLGV;39
18;Z;TXBZ;45
37;U;HXIE;47
84;E;OIOW;19
6;N;YNEY;71
8;H;CVJX;77
50;R;AEYI;60
4;W;VODW;59
28;S;DMBM;47
6;B;QPBZ;80
39;W;PDZY;30
46;D;FKEP;19
100;X;JQLA;74
40;S;AYCJ;52
46;Y;FTUT;69
34;J;GOJZ;49
97;J;OTJJ;73
8;I;BPPC;34
1;Q;XPLS;24
42;T;PIHO;24
42;J;FATK;33
83;J;RPYC;47
88;G;TDGR;72
21;U;PWRI;72
18;P;HLGM;76
80;F;QLBH;44
7;F;ISBK;32
6;I;WAET;24
13;X;BMFN;46
67;T;HOXB;21
45;G;NQMR;34
31;G;LCHE;61
67;Q;NRDE;23
5;U;ULHT;62
45;T;ZUVF;49
99;W;QUNY;23
49;N;TTZU;32
48;E;CQCP;53
80;N;JRPB;71
58;P;WBMZ;39
90;B;TCXR;38
20;N;VYQW;71
61;X;SROH;79
35;E;PXKH;33
82;C;PRUH;78
47;M;XRMQ;46
97;W;MZAV;79
89;O;QPEN;41
36;O;HMAJ;36
18;L;JRIU;80
100;O;UOGR;52
43;M;ISMZ;70
28;X;YKBX;44
41;Z;QYTW;35
19;K;QGCW;18
93;K;BWHC;43
78;I;DXZB;20
42;G;PIYL;57
98;C;CKDZ;71
92;L;DBOQ;38
3;H;IMFL;40
48;N;AHHG;33
32;S;FCZD;67
3;K;NMLN;21
28;M;DMEB;73
69;W;SKLY;61
38;L;MMGC;23
70;D;BTPX;29
55;M;JRUM;71
8;P;KOJD;57
70;F;YKYT;42
65;H;YQKY;78
15;Z;PAXU;18
17;E;FNWX;41
41;I;TWIC;68
86;B;VQVZ;28
76;T;UKIN;54
93;V;SGRC;55
96;A;NOWX;50
1;A;ZTCE;37
14;U;SXIL;19
13;J;DWNM;70
97;G;ZIJV;75
43;T;ALDN;39
56;L;TAAR;80
43;S;ACKK;38
39;W;NWFA;60
88;H;SXMN;66
32;L;GWHX;49
20;T;NPAV;18
67;Q;QRQI;64
49;T;TRFL;24
79;I;EPQM;24
4;N;DSMA;77
87;J;ZJMT;37
32;W;FMRJ;24
24;J;NQCS;49
25;C;TCGU;36
24;X;BNKR;53
56;E;QYBP;35
99;P;MMQV;68
53;Y;LVPK;70
26;Z;KYVL;76
30;A;GIFG;22
51;F;PXRA;78
73;V;KPOC;58
35;D;RCSF;40
60;G;QQSY;41
76;V;BPUF;72
61;I;XLGH;51
27;W;OEJU;75
27;V;UPNW;41
5;K;VMBC;58
54;N;EFOO;23
59;F;FBCY;21
82;Q;KYRG;73
37;J;JOCB;55
66;L;KCJA;62
62;S;NLCU;65
48;O;EXFD;33
1;T;YRBU;59
95;Y;SYUU;32
93;F;NEYQ;39
3;R;PTGT;35
15;K;HTKM;51
54;C;KGVR;57
72;Y;IOKR;41
7;N;QAZX;80
54;E;RSDC;28
88;K;DRNE;49
35;G;MWMG;65
23;P;EASL;37
52;O;ZMRZ;26
68;M;ZFKY;37
87;E;HCHW;63
19;I;UWVY;40
84;H;NLKA;34
21;N;YXCO;19
4;E;RIET;31
74;G;NZET;73
56;U;AKPO;36
25;P;KMDV;30
32;L;RSCJ;23
42;V;INXO;62
98;N;XUFX;73
11;X;PVJO;29
9;F;ADGV;46
16;W;CYBD;48
16;M;RAHY;34
51;J;OLOP;65
40;L;PLXS;33
81;Q;MDCR;23
27;E;CSPT;38
3;N;XNBQ;43
53;I;EHHT;67
16;I;NEQQ;69
37;Y;OVTS;42
58;G;YUBF;49
17;H;ZOVZ;46
