x1;x2;xyz;age
55;Z;FOQA;67
83;D;UWMK;26
30;P;UYSX;38
100;Q;BKBY;21
69;Z;HCRZ;73
100;T;IKSD;29
17;Z;RRNE;58
87;X;HXOJ;81
99;Y;EBSK;20
8;P;KVRI;27
5;B;CQAC;67
14;X;TFOA;54
64;O;LBXA;28
12;P;EXSW;76
62;L;JGSF;66
87;P;ASEB;28
40;N;TULU;81
35;B;ZZPV;49
35;I;UNBO;43
26;R;BJXC;42
29;D;XQXB;29
39;C;CZFF;29
13;T;TKKJ;23
45;K;XDVI;35
95;X;PWQZ;58
95;L;WBXR;43
56;K;AGXX;23
84;Q;LBAD;37
51;D;BBSY;30
29;R;GUIX;64
95;N;LRSQ;21
51;F;TFLP;49
4;V;MTJW;51
88;R;GFCU;29
52;V;TDFF;46
100;D;MGUO;18
79;C;ZHWE;67
79;L;MBQD;78
43;X;HALQ;68
55;N;VUBW;73
62;D;AQQA;43
35;L;GERV;76
40;I;AYPK;81
83;D;VWDR;57
22;B;LDIY;61
22;U;XWXN;38
11;W;YLHL;37
39;M;IBYZ;56
27;K;IBZI;27
73;H;IOVE;76
86;S;ELBB;50
20;H;IUDL;18
94;H;LEII;80
93;G;QKGW;44
1;Z;KWAB;75
30;A;DKRX;58
94;R;XSTJ;48
22;C;JEWV;38
63;H;GLFA;26
57;X;TPNO;59
47;J;VKAD;39
42;P;AFLX;36
1;C;KYEW;36
86;G;GPPY;22
1;L;LBPT;33
36;X;UFDA;53
53;A;KFUQ;43
60;O;JPMA;52
92;K;HZBF;52
55;B;IMHW;60
81;P;BQCT;42
45;K;GATA;69
51;U;DUFK;42
91;L;NHMW;40
18;M;DTUC;79
96;T;BDVL;73
78;B;CLEJ;55
3;U;OTIG;70
71;X;EWBB;19
9;E;ENGT;71
95;T;AROX;76
49;O;UGLU;68
98;H;KGTE;42
62;I;WFKX;64
53;E;ELPL;57
93;F;DAGL;46
32;F;VDYP;75
64;C;WBPR;76
15;T;QJND;30
96;T;QMJT;21
95;W;PBBA;35
33;D;MUMW;59
14;J;QRVP;52
13;B;MODC;60
16;X;KSLX;73
96;U;GMUK;56
57;O;QNOQ;48
9;M;CEJH;68
30;Y;KKRS;18
15;A;ESYH;49
18;Q;HBWG;24
7;W;CZNT;18
73;K;EUNN;32
57;C;WPAU;23
48;J;HZWM;43
91;M;DZPV;24
96;E;MLNW;62
87;X;MAFQ;49
94;O;QGTY;57
87;N;HFXN;76
80;L;FLUT;71
34;B;TBUT;58
76;I;APSF;30
15;F;GOKV;54
26;K;SVAQ;31
92;F;MWDP;69
93;M;YRHD;73
31;S;FLME;32
87;O;ZESL;25
83;Q;RYQT;23
64;F;ZCYB;46
75;O;ZUMB;56
14;E;ZIEO;50
41;U;RANO;49
89;P;MBKE;28
80;D;TVWY;24
56;L;NIHL;53
53;F;LZCR;32
79;Z;PXUL;81
77;A;NWPY;36
38;Y;XOVQ;61
100;T;LNCQ;29
22;W;JVLU;55
78;B;YBFD;52
23;M;FNEL;36
60;G;LQPZ;81
8;M;QFCK;27
21;U;IMRT;56
18;K;HCOG;37
39;T;QGYP;66
15;L;YQYB;77
89;N;MUQN;38
52;U;NZBR;42
28;U;WBCW;27
28;F;MOUV;51
2;U;QYNB;62
88;A;MTNU;50
75;B;DRTJ;48
55;A;ITGY;21
25;L;UOSK;51
10;F;HQAH;72
20;D;DVXN;27
33;S;JGZV;32
49;V;XBYN;46
43;P;TOFW;57
13;H;CGHP;25
33;E;IGPJ;56
87;L;SREQ;32
31;V;VZLO;39
29;K;UUYY;64
44;U;RLPX;71
72;E;VYOC;81
83;V;SKUL;18
16;E;SCOJ;81
43;D;MWVW;45
21;Z;RUFY;69
67;O;SCTC;43
92;D;BJPH;32
83;C;JOVB;37
75;E;QLHO;35
98;Y;OAOB;18
18;C;GVBL;44
87;E;FRAM;30
25;U;DOZT;27
96;O;ZOCJ;46
65;Y;SUQV;29
100;M;FOHX;36
2;W;EJHT;31
36;I;JBJL;18
67;B;VLWM;53
79;E;SVQJ;60
10;W;MYXU;29
63;X;GMVS;26
14;D;WDQY;23
36;O;FGJD;71
19;K;MSZI;28
86;G;KLJK;57
2;C;YRMS;75
1;I;QFIZ;22
99;O;VYDU;31
23;E;KXGY;68
79;B;GPUR;53
16;Z;MIKE;60
45;I;XKBM;77
87;Q;WBMT;79
